0,0
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,2
13,2
14,2
15,2
16,2
17,0
18,0
19,0
20,1
21,1
22,2
23,1
24,1
25,1
26,1
27,2
28,0
29,0
30,0
31,0
32,2
33,2
34,0
35,1
36,1
37,1
38,2
39,1
40,1
41,1
42,2
43,0
44,1
45,1
46,2
47,0
48,1
49,1
50,2
51,2
52,1
53,1
54,1
55,2
56,1
57,2
58,2
59,2
60,2
61,2
62,2
63,1
64,2
65,1
66,1
67,1
68,1
69,2
70,1
71,2
72,1
73,1
74,1
75,1
76,1
77,2
78,1
79,2
80,2
81,1
82,2
83,1
84,0
85,2
86,0
87,1
88,1
89,1
90,1
91,1
92,1
93,2
94,0
95,0
96,0
97,1
98,0
99,0
100,1
101,1
102,0
103,2
104,1
105,1
106,2
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,2
117,1
118,1
119,0
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,2
129,1
130,1
131,1
132,1
133,2
134,1
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,1
143,0
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,0
152,0
153,1
154,1
155,1
156,0
157,1
158,1
159,1
160,1
161,2
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,2
172,2
173,0
174,1
175,0
176,0
177,2
178,1
179,2
180,1
181,1
182,1
183,1
184,1
185,2
186,0
187,1
188,2
189,1
190,1
191,1
192,2
193,1
194,1
195,0
196,1
197,1
198,2
199,0
200,1
201,1
202,1
203,0
204,1
205,1
206,1
207,2
208,1
209,2
210,1
211,1
212,0
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,1
225,0
226,1
227,1
228,1
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,1
239,0
240,0
241,1
242,1
243,1
244,1
245,2
246,1
247,1
248,2
249,2
250,0
251,0
252,2
253,1
254,1
